code,name
0,"WMO Secretariat"
1,"Melbourne (WMC)"
2,"Melbourne (WMC)"
3,"Melbourne (WMC)"
4,"Moscow (WMC)"
5,"Moscow (WMC)"
6,"Moscow (WMC)"
7,"US National Weather Service - NCEP (WMC)"
8,"US National Weather Service - NWSTG (WMC)"
9,"US National Weather Service - Other (WMC)"
10,"Cairo (RSMC/RAFC)"
11,"Cairo (RSMC/RAFC)"
12,"Dakar (RSMC/RAFC)"
13,"Dakar (RSMC/RAFC)"
14,"Nairobi (RSMC/RAFC)"
15,"Nairobi (RSMC/RAFC)"
16,"Casablanca (RSMC)"
17,"Tunis (RSMC)"
18,"Tunis-Casablanca (RSMC)"
19,"Tunis-Casablanca (RSMC)"
20,"Las Palmas (RAFC)"
21,"Algiers (RSMC)"
22,"ACMAD"
23,"Mozambique (NMC)"
24,"Pretoria (RSMC)"
25,"La Réunion"
26,"Khabarovsk (RSMC)"
27,"Khabarovsk (RSMC)"
28,"New Delhi (RSMC/RAFC)"
29,"New Delhi (RSMC/RAFC)"
30,"Novosibirsk (RSMC)"
31,"Novosibirsk (RSMC)"
32,"Tashkent (RSMC)"
33,"Jeddah (RSMC)"
34,"Tokyo (RSMC), Japanese Meteorological Agency"
35,"Tokyo (RSMC), Japanese Meteorological Agency"
36,"Bangkok"
37,"Ulan Bator"
38,"Beijing (RSMC)"
39,"Beijing (RSMC)"
40,"Seoul"
41,"Buenos Aires (RSMC/RAFC)"
42,"Buenos Aires (RSMC/RAFC)"
43,"Brasilia (RSMC/RAFC)"
44,"Brasilia (RSMC/RAFC)"
45,"Santiago"
46,"Brazilian Space Agency - INPE"
47,"Colombia (NMC)"
48,"Ecuador (NMC)"
49,"Peru (NMC)"
50,"Venezuela (NMC)"
51,"Miami (RSMC/RAFC)"
52,"Miami (RSMC), National Hurricane Center"
53,"Canadian Meteorological Service - Montreal (RSMC)"
54,"Canadian Meteorological Service - Montreal (RSMC)"
55,"San Francisco"
56,"ARINC Center"
57,"US Air Force - Air Force Global Weather Center"
58,"Fleet Numerical Meteorology and Oceanography Center,Monterey,CA,USA"
59,"The NOAA Forecast Systems Lab, Boulder, CO, USA"
60,"National Center for Atmospheric Research (NCAR), Boulder, CO"
61,"Service ARGOS - Landover, MD, USA"
62,"US Naval Oceanographic Office"
63,"International Research Institude for Climate and Society"
64,"Honolulu"
65,"Darwin (RSMC)"
66,"Darwin (RSMC)"
67,"Melbourne (RSMC)"
68,"Reserved"
69,"Wellington (RSMC/RAFC)"
70,"Wellington (RSMC/RAFC)"
71,"Nadi (RSMC)"
72,"Singapore"
73,"Malaysia (NMC)"
74,"U.K. Met Office - Exeter (RSMC)"
75,"U.K. Met Office - Exeter (RSMC)"
76,"Moscow (RSMC/RAFC)"
77,"Reserved"
78,"Offenbach (RSMC)"
79,"Offenbach (RSMC)"
80,"Rome (RSMC)"
81,"Rome (RSMC)"
82,"Norrköping"
83,"Norrköping"
84,"French Weather Service - Toulouse"
85,"French Weather Service - Toulouse"
86,"Helsinki"
87,"Belgrade"
88,"Oslo"
89,"Prague"
90,"Episkopi"
91,"Ankara"
92,"Frankfurt/Main (RAFC)"
93,"London (WAFC)"
94,"Copenhagen"
95,"Rota"
96,"Athens"
97,"European Space Agency (ESA)"
98,"European Center for Medium-Range Weather Forecasts (RSMC)"
99,"De Bilt, Netherlands"
100,"Brazzaville"
101,"Abidjan"
102,"Libyan Arab Jamahiriya (NMC)"
103,"Madagascar (NMC)"
104,"Mauritius (NMC)"
105,"Niger (NMC)"
106,"Seychelles (NMC)"
107,"Uganda (NMC)"
108,"United Republic of Tanzania (NMC)"
109,"Zimbabwe (NMC)"
110,"Hong-Kong, China"
111,"Afghanistan (NMC)"
112,"Bahrain (NMC)"
113,"Bangladesh (NMC)"
114,"Bhutan (NMC)"
115,"Cambodia (NMC)"
116,"Democratic People's Republic of Korea (NMC)"
117,"Islamic Republic of Iran (NMC)"
118,"Iraq (NMC)"
119,"Kazakhstan (NMC)"
120,"Kuwait (NMC)"
121,"Kyrgyz Republic (NMC)"
122,"Lao People's Democratic Republic (NMC)"
123,"Macao, China"
124,"Maldives (NMC)"
125,"Myanmar (NMC)"
126,"Nepal (NMC)"
127,"Oman (NMC)"
128,"Pakistan (NMC)"
129,"Qatar (NMC)"
130,"Yemen (NMC)"
131,"Sri Lanka (NMC)"
132,"Tajikistan (NMC)"
133,"Turkmenistan (NMC)"
134,"United Arab Emirates (NMC)"
135,"Uzbekistan (NMC)"
136,"Socialist Republic of Viet Nam (NMC)"
140,"Bolivia (NMC)"
141,"Guyana (NMC)"
142,"Paraguay (NMC)"
143,"Suriname (NMC)"
144,"Uruguay (NMC)"
145,"French Guyana"
146,"Brazilian Navy Hydrographic Center"
147,"National Commission on Space Activities (CONAE) - Argentina"
150,"Antigua and Barbuda (NMC)"
151,"Bahamas (NMC)"
152,"Barbados (NMC)"
153,"Belize (NMC)"
154,"British Caribbean Territories Center"
155,"San Jose"
156,"Cuba (NMC)"
157,"Dominica (NMC)"
158,"Dominican Republic (NMC)"
159,"El Salvador (NMC)"
160,"US NOAA/NESDIS"
161,"US NOAA Office of Oceanic and Atmospheric Research"
162,"Guatemala (NMC)"
163,"Haiti (NMC)"
164,"Honduras (NMC)"
165,"Jamaica (NMC)"
166,"Mexico City"
167,"Netherlands Antilles and Aruba (NMC)"
168,"Nicaragua (NMC)"
169,"Panama (NMC)"
170,"Saint Lucia (NMC)"
171,"Trinidad and Tobago (NMC)"
172,"French Departments in RA IV"
173,"US National Aeronautics and Space Administration (NASA)"
174,"Integrated System Data Management/Marine Environmental Data Service (ISDM/MEDS) - Canada"
175,"University Corporation for Atmospheric Research (UCAR) – United States"
176,"Cooperative Institute for Meteorological Satellite Studies (CIMSS) – United States"
177,"NOAA National Ocean Service – United States"
190,"Cook Islands (NMC)"
191,"French Polynesia (NMC)"
192,"Tonga (NMC)"
193,"Vanuatu (NMC)"
194,"Brunei (NMC)"
195,"Indonesia (NMC)"
196,"Kiribati (NMC)"
197,"Federated States of Micronesia (NMC)"
198,"New Caledonia (NMC)"
199,"Niue"
200,"Papua New Guinea (NMC)"
201,"Philippines (NMC)"
202,"Samoa (NMC)"
203,"Solomon Islands (NMC)"
204,"Narional Institude of Water and Atmospheric Research - New Zealand"
210,"Frascati (ESA/ESRIN)"
211,"Lanion"
212,"Lisboa"
213,"Reykjavik"
214,"Madrid"
215,"Zürich"
216,"Service ARGOS - Toulouse"
217,"Bratislava"
218,"Budapest"
219,"Ljubljana"
220,"Warsaw"
221,"Zagreb"
222,"Albania (NMC)"
223,"Armenia (NMC)"
224,"Austria (NMC)"
225,"Azerbaijan (NMC)"
226,"Belarus (NMC)"
227,"Belgium (NMC)"
228,"Bosnia and Herzegovina (NMC)"
229,"Bulgaria (NMC)"
230,"Cyprus (NMC)"
231,"Estonia (NMC)"
232,"Georgia (NMC)"
233,"Dublin"
234,"Israel (NMC)"
235,"Jordan (NMC)"
236,"Latvia (NMC)"
237,"Lebanon (NMC)"
238,"Lithuania (NMC)"
239,"Luxembourg"
240,"Malta (NMC)"
241,"Monaco"
242,"Romania (NMC)"
243,"Syrian Arab Republic (NMC)"
244,"The former Yugoslav Republic of Macedonia (NMC)"
245,"Ukraine (NMC)"
246,"Republic of Moldova (NMC)"
247,"Operational Programme for the Exchange of Weather RAdar Information (OPERA) - EUMETNET"
248,"Montenegro (NMC)"
250,"COnsortium for Small scale MOdelling (COSMO)"
251,"Meteorological Cooperation on Operational NWP (MetCoOp)"
252,"Max Planck Institute for Meteorology (MPI-M)"
254,"EUMETSAT Operations Center"
256,"Angola (NMC)"
257,"Benin (NMC)"
258,"Botswana (NMC)"
259,"Burkina Faso (NMC)"
260,"Burundi (NMC)"
261,"Cameroon (NMC)"
262,"Cape Verde (NMC)"
263,"Central African Republic (NMC)"
264,"Chad (NMC)"
265,"Comoros (NMC)"
266,"Democratic Republic of the Congo (NMC)"
267,"Djibouti (NMC)"
268,"Eritrea (NMC)"
269,"Ethiopia (NMC)"
270,"Gabon (NMC)"
271,"Gambia (NMC)"
272,"Ghana (NMC)"
273,"Guinea (NMC)"
274,"Guinea-Bissau (NMC)"
275,"Lesotho (NMC)"
276,"Liberia (NMC)"
277,"Malawi (NMC)"
278,"Mali (NMC)"
279,"Mauritania (NMC)"
280,"Namibia (NMC)"
281,"Nigeria (NMC)"
282,"Rwanda (NMC)"
283,"Sao Tome and Principe (NMC)"
284,"Sierra Leone (NMC)"
285,"Somalia (NMC)"
286,"Sudan (NMC)"
287,"Swaziland (NMC)"
288,"Togo (NMC)"
289,"Zambia (NMC)"
